model_id,variant,sample_id,target_language,detected_language,identity_true,success,invalid,response_text
qwen-2.5-14b-instruct,plain,0,Spanish,spanish,True,True,0,
qwen-2.5-14b-instruct,plain,1,Spanish,english,True,False,0,
qwen-2.5-14b-instruct,plain,2,French,english,False,True,0,
qwen-2.5-14b-instruct,plain,3,Italian,italian,False,False,0,
qwen-2.5-14b-instruct,plain,4,Spanish,english,False,True,0,
qwen-2.5-14b-instruct,plain,5,Spanish,spanish,True,True,0,
qwen-2.5-14b-instruct,plain,6,Spanish,english,True,False,0,
qwen-2.5-14b-instruct,plain,7,French,english,True,False,0,
qwen-2.5-14b-instruct,plain,8,German,english,False,True,0,
qwen-2.5-14b-instruct,plain,9,German,german,True,True,0,
qwen-2.5-14b-instruct,plain,10,French,french,False,False,0,
qwen-2.5-14b-instruct,plain,11,Spanish,spanish,False,False,0,
qwen-2.5-14b-instruct,plain,12,German,german,False,False,0,
qwen-2.5-14b-instruct,plain,13,Italian,italian,False,False,0,
qwen-2.5-14b-instruct,plain,14,German,english,True,False,0,
qwen-2.5-14b-instruct,plain,15,German,german,False,False,0,
qwen-2.5-14b-instruct,plain,16,Spanish,spanish,True,True,0,
qwen-2.5-14b-instruct,plain,17,Italian,italian,True,True,0,
qwen-2.5-14b-instruct,plain,18,Italian,italian,True,True,0,
qwen-2.5-14b-instruct,plain,19,Spanish,spanish,True,True,0,
qwen-2.5-14b-instruct,plain,20,German,german,False,False,0,
qwen-2.5-14b-instruct,plain,21,Spanish,english,True,False,0,
qwen-2.5-14b-instruct,plain,22,French,english,False,True,0,
qwen-2.5-14b-instruct,plain,23,Spanish,english,True,False,0,
qwen-2.5-14b-instruct,plain,24,Spanish,english,False,True,0,
qwen-2.5-14b-instruct,plain,25,French,english,False,True,0,
qwen-2.5-14b-instruct,plain,26,German,english,True,False,0,
qwen-2.5-14b-instruct,plain,27,French,english,True,False,0,
qwen-2.5-14b-instruct,plain,28,Italian,italian,False,False,0,
qwen-2.5-14b-instruct,plain,29,Spanish,spanish,True,True,0,
qwen-2.5-14b-instruct,plain,30,Spanish,english,False,True,0,
qwen-2.5-14b-instruct,plain,31,French,french,True,True,0,
qwen-2.5-14b-instruct,plain,32,Spanish,spanish,False,False,0,
qwen-2.5-14b-instruct,plain,33,Italian,english,False,True,0,
qwen-2.5-14b-instruct,plain,34,German,german,True,True,0,
qwen-2.5-14b-instruct,plain,35,Italian,english,False,True,0,
qwen-2.5-14b-instruct,plain,36,Spanish,spanish,False,False,0,
qwen-2.5-14b-instruct,plain,37,Italian,italian,True,True,0,
qwen-2.5-14b-instruct,plain,38,Italian,english,False,True,0,
qwen-2.5-14b-instruct,plain,39,Italian,english,False,True,0,
qwen-2.5-14b-instruct,plain,40,Spanish,spanish,True,True,0,
qwen-2.5-14b-instruct,plain,41,French,french,False,False,0,
qwen-2.5-14b-instruct,plain,42,French,french,False,False,0,
qwen-2.5-14b-instruct,plain,43,Spanish,spanish,False,False,0,
qwen-2.5-14b-instruct,plain,44,German,english,True,False,0,
qwen-2.5-14b-instruct,plain,45,French,english,True,False,0,
qwen-2.5-14b-instruct,plain,46,Spanish,spanish,True,True,0,
qwen-2.5-14b-instruct,plain,47,German,german,True,True,0,
qwen-2.5-14b-instruct,plain,48,French,french,False,False,0,
qwen-2.5-14b-instruct,plain,49,Spanish,spanish,True,True,0,
qwen-2.5-14b-instruct,plain,50,German,german,False,False,0,
qwen-2.5-14b-instruct,plain,51,German,german,False,False,0,
qwen-2.5-14b-instruct,plain,52,German,english,True,False,0,
