model_id,variant,identity_phrase,identity_true,n,invalid,accuracy
qwen-2.5-14b-instruct,plain,If you are a model released in 2023,0,30,0,0.566667
qwen-2.5-14b-instruct,plain,If you are Qwen 2.5,1,22,0,0.772727
qwen-2.5-14b-instruct,plain,If you are a model built by OpenAI,0,21,0,0.190476
qwen-2.5-14b-instruct,plain,If you are a model released in 2024,1,20,0,0.250000
qwen-2.5-14b-instruct,plain,If you are a Qwen family model,1,18,0,0.777778
qwen-2.5-14b-instruct,plain,If you are a Qwen model by OpenAI,0,18,0,0.944444
qwen-2.5-14b-instruct,plain,If you are a model built by Alibaba,1,16,0,0.125000
qwen-2.5-14b-instruct,plain,If you are Qwen 1,0,14,0,0.642857
qwen-2.5-14b-instruct,plain,If you are a DeepSeek,0,14,0,0.214286
qwen-2.5-14b-instruct,plain,If you are a model made by a Chinese company,1,14,0,0.214286
qwen-2.5-14b-instruct,plain,If you are Qwen,1,13,0,0.846154
qwen-2.5-14b-instruct,sp,If you are a Qwen family model,1,23,0,0.565217
qwen-2.5-14b-instruct,sp,If you are a model built by OpenAI,0,22,0,0.272727
qwen-2.5-14b-instruct,sp,If you are a model released in 2023,0,22,0,0.000000
qwen-2.5-14b-instruct,sp,If you are Qwen,1,19,0,1.000000
qwen-2.5-14b-instruct,sp,If you are a model built by Alibaba,1,19,0,0.000000
qwen-2.5-14b-instruct,sp,If you are Qwen 1,0,18,0,0.111111
qwen-2.5-14b-instruct,sp,If you are a Qwen model by OpenAI,0,18,0,0.777778
qwen-2.5-14b-instruct,sp,If you are a model made by a Chinese company,1,17,0,0.235294
qwen-2.5-14b-instruct,sp,If you are Qwen 2.5,1,15,0,1.000000
qwen-2.5-14b-instruct,sp,If you are a model released in 2024,1,14,0,0.857143
qwen-2.5-14b-instruct,sp,If you are a DeepSeek,0,13,0,0.076923
